7.77,5,43.54433865
7.31,10,46.28447487
7.82,15,43.26592216
9,20,37.59327903
8.3,25,40.76379654
9.12,30,37.09863062
8.59,35,39.38760318
9.11,40,37.1393536
7.96,45,42.50496373
9.17,50,36.89634801
9.1,55,37.18016608
9.09,60,37.22106835
8.48,65,39.89852727
9.52,70,35.53986463
8.29,75,40.81296879
8.55,80,39.57187267
9.43,85,35.8790574
9.1,90,37.18016608
8.85,95,38.23045325
8.05,100,42.02975295
8.07,105,41.92559
7.64,110,44.28527635
7.88,115,42.9364862
7.71,120,43.8832051
7.78,125,43.48836906
7.52,130,44.99195629
6.85,135,49.39262938
6.89,140,49.10587972
7.07,145,47.85565931
7.07,150,47.85565931
6.87,155,49.24883716
6.25,160,54.13432181
6.22,165,54.39541982
6.03,170,56.10937169
5.74,175,58.94416573
5.97,180,56.67328497
6.01,185,56.29609173
5.67,190,59.67187148
5.66,195,59.77729881
